"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4,X16601,C3,X16602,C2,X16599,C1)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4,X91589417,C3,X91590927,C2,X91588007,C1)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.5,X14834,C1,X14835,C4)}","I am perfectly happy with my standard of living {sumax(X91583243,C4,X91591993,C3,X91592876,C2,X91586625,C1)}","Politics {sumax(X61206,C1,X61209,C2,X61208,C3,X61210,C4,X61207,C5)}"
85001W856825C14,204,50,2,137,2,2,3,2
85001W8568H2F8X,385,193,2,424,3,2,3,4
85001W8568K851V,373,187,3,174,4,1,2,3
85001W856A1WG3X,110,38,3,137,2,2,2,3
85001W856A9DB7Q,130,65,1,34,2,4,4,4
85001W856AKPPUN,266,132,2,299,4,1,3,4
85001W856BP2MF7,686,230,4,87,4,1,4,4
85001W856BT8QYV,448,225,3,299,3,2,3,1
85001W856DYEFYG,516,518,3,4,1,4,4,5
85001W856FDZFCR,120,30,3,174,2,1,4,5
85001W856G5T34B,432,216,1,4,3,4,3,1
85001W856H1EA1E,667,665,4,14,3,1,3,1
85001W856HHCD1B,414,207,2,112,2,2,2,3
85001W856K3WE7F,174,58,2,299,1,1,3,2
85001W856KCB3TC,70,23,3,112,2,1,3,4
85001W856KUHYK3,577,291,2,174,3,4,3,4
85001W856QZFSAX,129,65,4,174,4,4,4,5
85001W856SFYC8B,142,46,2,174,2,1,3,5
85001W856SQDRKY,125,63,2,24,2,1,1,2
85001W856TGACB5,188,188,2,24,3,1,3,4
85001W856VN4BFN,194,194,3,54,4,1,3,2
85001W856W1ZJ27,70,36,3,44,3,1,4,3
85001W856WK4U7A,261,131,2,224,3,2,3,4
85001W856WNY3GS,862,866,2,174,2,2,2,5
85001W856YBN4A8,3214,1074,2,54,3,4,4,3
85001W85713X8JK,1080,543,2,87,2,4,3,3
85001W8574VWZ6B,332,167,2,44,3,4,2,4
85001W8575VVZV4,361,181,4,67,3,1,3,3
85001W857724HEU,139,139,4,24,3,1,4,4
85001W85799Z5CR,285,143,3,137,3,4,3,3
85001W857BFM3NA,260,259,3,137,2,4,3,3
85001W857BYB51F,144,72,2,174,3,1,3,4
85001W857CWPUB1,70,36,3,137,2,2,3,4
85001W857D7W4XF,229,228,2,34,4,1,2,1
85001W857DGG5T2,85,85,1,67,3,4,3,2
85001W857EHP12H,650,218,3,24,3,2,4,3
85001W857ER96NR,210,52,3,87,2,1,2,3
85001W857F8TQ5J,70,35,3,137,3,4,4,3
85001W857FBDX27,493,248,2,112,3,4,4,3
85001W857FEYA2S,110,55,1,54,3,4,3,1
85001W857HYDHCB,321,160,4,174,3,2,4,4
85001W857N77PJ6,94,31,1,500,3,1,2,2
85001W857NA9UQN,140,70,1,54,1,4,4,1
85001W857P612ES,70,70,2,34,3,4,3,3
85001W857PU5BX8,149,149,2,299,2,1,3,2
85001W857QMJWEJ,70,35,3,112,3,4,4,2
85001W857R96TSZ,84,41,3,424,2,2,3,4
85001W857RAB3W1,227,115,2,87,2,1,4,5
85001W857RWX64M,70,36,2,34,4,4,2,3
85001W857TSBR25,148,148,2,424,2,4,3,2
85001W857UUZNFU,169,170,3,112,2,4,3,1
85001W857V5WBX9,304,305,3,87,3,1,4,3
85001W857VK4H7B,289,144,2,174,3,1,4,3
85001W857VMVYX8,330,331,3,87,1,2,2,3
85001W857VUUBT6,608,303,3,87,4,2,3,3
85001W857WBDREZ,216,72,2,54,4,4,2,4
85001W857WNQ86B,219,55,3,112,3,4,4,5
85001W857XM1R8U,203,102,4,224,3,2,4,4
85001W857ZQYJQM,536,267,1,424,3,1,3,3
85001W85824Q3KB,240,239,1,137,2,4,2,2
85001W8582VUQBB,70,12,3,4,1,4,4,3
